epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5329.7,0.97445,0.76051,1.29037,0.83846,0.84529,0.89873,0.67224,0.33964,0.87089,0.34598,0.0045055,0.0045055,0.0045055
113,5377.17,0.96753,0.74697,1.28584,0.83373,0.84174,0.90018,0.67265,0.33929,0.87508,0.34657,0.004456,0.004456,0.004456
114,5424.75,0.96903,0.74858,1.28222,0.83952,0.84079,0.90043,0.67091,0.33866,0.86147,0.34627,0.0044065,0.0044065,0.0044065
115,5472.34,0.96719,0.74845,1.28599,0.82642,0.84736,0.90103,0.67422,0.33763,0.84571,0.3457,0.004357,0.004357,0.004357
116,5519.9,0.96736,0.74729,1.27937,0.8344,0.8505,0.89941,0.67291,0.3376,0.78763,0.34541,0.0043075,0.0043075,0.0043075
117,5567.17,0.96033,0.737,1.27475,0.84097,0.85007,0.89951,0.67355,0.33713,0.76542,0.34527,0.004258,0.004258,0.004258
118,5614.8,0.9549,0.73734,1.27331,0.84805,0.84497,0.90038,0.67414,0.33737,0.75058,0.34534,0.0042085,0.0042085,0.0042085
119,5662.21,0.95929,0.73548,1.27477,0.84656,0.85089,0.89846,0.67139,0.33688,0.72484,0.3458,0.004159,0.004159,0.004159
120,5709.57,0.95496,0.73349,1.27044,0.84912,0.85454,0.89956,0.67039,0.33586,0.6944,0.34482,0.0041095,0.0041095,0.0041095
121,5756.8,0.94616,0.73034,1.26869,0.85261,0.85529,0.89841,0.67309,0.3362,0.64889,0.34514,0.00406,0.00406,0.00406
122,5804.07,0.94856,0.73323,1.26966,0.85526,0.85364,0.89772,0.67519,0.33654,0.61745,0.34474,0.0040105,0.0040105,0.0040105
123,5851.41,0.95365,0.73639,1.27601,0.85854,0.85269,0.89716,0.67254,0.336,0.62599,0.34406,0.003961,0.003961,0.003961
124,5898.89,0.94786,0.72848,1.26746,0.85288,0.84289,0.89689,0.67098,0.33577,0.61792,0.34403,0.0039115,0.0039115,0.0039115
125,5946.23,0.94463,0.72326,1.26223,0.86115,0.84257,0.89621,0.67285,0.33564,0.62963,0.34479,0.003862,0.003862,0.003862
126,5993.62,0.93914,0.7258,1.26346,0.84607,0.84383,0.8964,0.67226,0.3347,0.62496,0.34364,0.0038125,0.0038125,0.0038125
127,6040.9,0.92615,0.71384,1.25137,0.85278,0.85238,0.89572,0.67538,0.33545,0.63031,0.34421,0.003763,0.003763,0.003763
128,6087.95,0.92982,0.71941,1.25778,0.85423,0.85211,0.89624,0.67267,0.33515,0.6404,0.34434,0.0037135,0.0037135,0.0037135
129,6135.22,0.9379,0.72434,1.26455,0.85627,0.84842,0.89771,0.67463,0.33546,0.6364,0.34469,0.003664,0.003664,0.003664
130,6182.81,0.93674,0.72145,1.25693,0.86236,0.85023,0.89674,0.67483,0.3349,0.62752,0.34453,0.0036145,0.0036145,0.0036145
131,6230.44,0.92348,0.70771,1.24733,0.86401,0.85428,0.89765,0.6771,0.33497,0.62694,0.34452,0.003565,0.003565,0.003565
132,6277.92,0.91992,0.7108,1.24995,0.87246,0.84161,0.89677,0.67443,0.33398,0.61504,0.34384,0.0035155,0.0035155,0.0035155
133,6325.23,0.91547,0.70155,1.24623,0.87736,0.84,0.89689,0.67573,0.33464,0.60059,0.34394,0.003466,0.003466,0.003466
134,6372.65,0.91103,0.70243,1.24213,0.87636,0.83846,0.89848,0.67565,0.33491,0.59972,0.34425,0.0034165,0.0034165,0.0034165
135,6420.27,0.91752,0.70518,1.24844,0.8809,0.84043,0.89781,0.67878,0.33489,0.59916,0.34427,0.003367,0.003367,0.003367
136,6467.9,0.91021,0.69395,1.24121,0.88786,0.83802,0.89946,0.68007,0.33511,0.60009,0.34465,0.0033175,0.0033175,0.0033175
